id,front,nmaterials,minPoint,maxPoint,aligned.dims,index,variantIds
90cd1d5e2f33888ebe9fa30bb5c5d8b5,"0,0,1",,"-0.646687,0.0,-0.261209","0.646687,0.856068,0.261209","4530.71,2998.82,1830.04",,
86a25532f255728fdaeb838d0771f3b5,"0,0,1",,"-0.586422,0.0,-0.484109","0.586422,0.929409,0.484109","3422.048,2711.77,2825.002",,
9072f7b49f0f9a4bf8bd41e640eaf848,"0,0,1",,"-0.350917,0.0,-0.312611","0.350917,1.311122,0.312611","1766.736644,3300.51,1573.88",,
951cc2a069d075cdadaabe1b581f21e1,"0,0,1",,"-0.286633,0.0,-0.308756","0.286633,0.987453,0.308756","1903.1202,3278.13,2050.003",,
1c3f1a9cea91359c4c3e19c2c67c262f,"0,0,1",,"-0.529944,0.0,-0.529698","0.529944,0.964146,0.529698","3659.27,3328.7185,3657.57",,
12f4d8c20ef311d988dcbe86402c7c15,"0,0,1",,"-0.547746,0.0,-0.474963","0.547746,1.035699,0.474963","3750.0,3545.32,3251.709",,
119ddb219f69b1cc492d9da2668ec34c,"0,0,1",,"-0.315699,0.0,-0.328356","0.315699,0.970646,0.328356","31808.8,48899.6,33084.1",,
2c765a22aed498f79ec5c5d2f7741e6a,"0,0,1",,"-0.276018,0.0,-0.276018","0.276018,1.411751,0.276018","1104.937,2825.7177,1104.937",,
fc131dfba15fafb2fdeed357dfbe708a,"0,0,1",,"-0.422618,0.0,-0.415257","0.422618,1.094653,0.415257","2401.57,3110.24,2359.74",,
d4aafb7908c8ae5883005e5bf6c208e0,"0,0,1",,"-0.264112,0.0,-0.303085","0.264112,1.019067,0.303085","2033.64,3923.3608,2333.73",,
258867fb919719fdf91663a74ccd2338,"0,0,1",,"-0.315165,0.0,-0.303884","0.315165,0.958366,0.303884","2081.9765,3165.47842,2007.454",,
32408a694ac56775ce62834dbceac22f,"0,0,1",,"-0.368753,0.0,-0.411366","0.368753,1.175624,0.411366","25210.1,40186.3,28123.4",,
2fca00b377269eebdb039d8689a74349,"0,0,1",,"-0.772578,0.0,-0.772578","0.772578,1.137199,0.772578","3900.0,2870.31,3900.0",,
14977bca24205cc2a6fee8e2140acec9,"0,0,1",,"-0.361198,0.0,-0.343519","0.361198,0.881808,0.343519","2841.31,3468.305,2702.24",,
806bce1a95268006ecd7cae46ee113ea,"0,0,1",,"-0.356533,0.0,-0.46713","0.356533,1.105567,0.46713","2363.0,3663.69027,3096.0",,
889608adead0fbcad5067eac75a07f7,"0,0,1",,"-0.415597,0.0,-0.395364","0.415597,1.134274,0.395364","2366.574,3229.5027,2251.358623",,
4855971647f786b642e1bb4fe264125f,"0,0,1",,"-0.258355,0.0,-0.267264","0.258355,1.064161,0.267264","11918.8287,24546.7,12329.828",,
665bfb42a0362f71d577f4b88a77dd38,"0,0,1",,"-0.411764,0.0,-0.495721","0.411764,0.970589,0.495721","2247.5008,2648.847698,2705.76",,
7f3562432f02b8a897d3ea932731fd42,"0,0,1",,"-0.980496,0.0,-0.61012","0.980496,1.279156,0.61012","5947.37,3879.47,3700.79",,
20a5672ab6767a436fdde33224151fa5,"0,0,1",,"-0.366939,0.0,-0.366939","0.366939,0.83267,0.366939","2600.0,2950.0,2600.0",,
17870a3cccc0709ab610b0c94236463,"0,0,1",,"-0.434208,0.0,-0.484205","0.434208,0.954315,0.484205","2588.5,2844.54,2886.55",,
4ab439279e665e08410fc47639efb60,"0,0,1",,"-0.289334,0.0,-0.332086","0.289334,0.953504,0.332086","2093.755,3450.0,2403.129",,
8a38d65b4909e79d727e9f790cd597,"0,0,1",,"-0.441494,0.0,-0.91038","0.441494,0.782714,0.91038","3101.995,2749.724953,6396.448",,
228d02580021e666796c584ff1fcf56d,"0,0,1",,"-0.356511,0.0,-0.347911","0.356511,0.882117,0.347911","2863.04,3542.02,2793.98",,
3225898a2fe3f6257ed90bca788562eb,"0,0,1",,"-0.351195,0.0,-0.335509","0.351195,0.909797,0.335509","2518.75,3262.5,2406.25",,
104221f8a5b6676aa1dda33d5a7c8c38,"0,0,1",,"-0.306945,0.0,-0.306792","0.306945,0.997579,0.306792","1732.138,2814.75,1731.279",,
14624a2cc43aac50e3a031805ace4a99,"0,0,1",,"-0.797814,0.0,-0.797814","0.797814,0.86774,0.797814","8470.21,4606.3,8470.205",,
2362ec480b3e9baa4fd5721982c508ad,"0,0,1",,"-0.34941,0.0,-0.34941","0.34941,0.46588,0.34941","3600.0,2400.0,3600.0",,
155a08c8e150e7008c4f202fffc87396,"0,0,1",,"-0.580453,0.0,-0.411154","0.580453,0.435087,0.411154","4780.797,1791.759952,3386.396",,
3f75a5cd629226a43bc7843c125d3dc1,"0,0,1",,"-0.743729,0.0,-0.538562","0.743729,1.129444,0.538562","3967.2,3012.3402,2872.8",,
4b22b93f9f881fe3434cc1450456532d,"0,0,1",,"-0.484833,0.0,-0.096967","0.484833,0.464631,0.096967","6000.0,2875.0,1200.0",,
176331ab6542bd406e3c8a33c4ddf2ef,"0,0,1",,"-0.472172,0.0,-0.472171","0.472172,0.963228,0.472171","1968.504,2007.87,1968.4998",,
88e73431030e8494cc0436ebbd73343e,"0,0,1",,"-0.91402,0.0,-0.403341","0.91402,0.814831,0.403341","6594.6048,2939.4782,2910.0846",,
525d48d65079b2003f222a37719e9945,"0,0,1",,"-0.367884,0.0,-0.25359","0.367884,0.628618,0.25359","2574.999,2200.0,1775.001",,
3d5f670616613d29948e91a0263c6132,"0,0,1",,"-0.569654,0.0,-0.438116","0.569654,0.389383,0.438116","36144.0,12353.0,27798.0",,
9b8e7652eac8daef33e6ceca7fd89911,"0,0,1",,"-0.869646,0.0,-0.441035","0.869646,0.919342,0.441035","5511.81,2913.39,2795.276",,
53bc49f45214d8d6ea73a64ae4344bc3,"0,0,1",,"-0.301421,0.0,-0.351511","0.301421,0.580408,0.351511","2407.00822,2317.4388,2807.00822",,
624890f61579a5db84577a999a07cf3,"0,0,1",,"-0.63357,0.0,-0.321894","0.63357,0.439411,0.321894","4650.0,1612.5,2362.5",,
fe167899fda76d1e88dcbe86402c7c15,"0,0,1",,"-0.781672,0.0,-0.781682","0.781672,1.001679,0.781682","4768.01,3055.0,4768.07",,
841082ec0a936a16a4bec68446bb57f4,"0,0,1",,"-0.310894,0.0,-0.321674","0.310894,0.62708,0.321674","2300.0042,2319.58,2379.75237",,
c0470c413b0a260979368d1198f406e7,"0,0,1",,"-0.306655,0.0,-0.306654","0.306655,0.664417,0.306654","2400.004,2600.0,2400.001",,
9b298fa03232e1c29daeea1362fbd792,"0,0,1",,"-1.250668,0.0,-0.573222","1.250668,1.302779,0.573222","4800.001,2500.0,2199.998",,
fc58916f7322a9ec79f0d54f2568ec16,"0,0,1",,"-0.644815,0.0,-0.3787","0.644815,0.777872,0.3787","3150.0,1900.0,1849.999",,
1316780d9b4a8ca71bb088904f7cb154,"0,0,1",,"-1.369603,0.0,-0.195657","1.369603,1.269597,0.195657","12401.6,5748.03,1771.65",,
47cb4740e2e0cb8d11bf24e88933ed8f,"0,0,1",,"-1.194766,0.0,-0.70038","1.194766,1.26343,0.70038","4350.0,2300.0,2550.0",,
4ee381b31ee52ab83a2356a805b7cdf7,"0,0,1",,"-2.140496,0.0,-1.21","2.140496,3.846246,1.21","16854.3,15142.7,9527.56",,
581c8baea2ec1161e8109480f4780398,"0,0,1",,"-0.349337,0.0,-0.267991","0.349337,1.773629,0.267991","2755.91,6996.06,2114.17402",,
cb48ec828b688a78d747fd5e045d7490,"0,0,1",,"-0.664687,0.0,-0.218284","0.664687,1.621188,0.218284","5649.6,6889.76,1855.34",,
300a2c57c5c0a31c35836c728d324152,"0,0,1",,"-0.219584,0.0,-0.469179","0.219584,1.422696,0.469179","2446.9,7926.79,5228.224",,
3469cdf83a3cba1f35836c728d324152,"0,0,1",,"-0.119276,0.0,-0.566114","0.119276,1.325848,0.566114","1512.8,8408.01,7180.15",,
8ece80f3ebbaac7035836c728d324152,"0,0,1",,"-0.204512,0.0,-0.312148","0.204512,1.593621,0.312148","1891.56,7369.8,2887.1",,
c12cae39fa4d6f78a99e0f0bf1de3bbf,"0,0,1",,"-0.165707,0.0,-0.328061","0.165707,1.573084,0.328061","1399.778,6644.15,2771.229",,
dccb87aacbcb40a4f1783a44a88d6274,"0,0,1",,"-0.40605,0.0,-0.40605","0.40605,1.180002,0.40605","1797.97,2612.5,1797.97",,
2bc37c326782ecfb9bbc8ad5ece3c1b,"0,0,1",,"-0.251888,0.0,-0.29768","0.251888,0.704807,0.29768","3369.37,4713.91,3981.9",,
68c52fa67028fceb47637d2621d965b1,"0,0,1",,"-0.708426,0.0,-0.270511","0.708426,0.736006,0.270511","5515.278,2865.0,2106.0",,
674ca67d5876e229d7c94fd3267ccbc,"0,0,1",,"-0.56282,0.0,-0.316847","0.56282,1.092288,0.316847","3375.0,3275.0,1900.0",,
849c1f116afb9875850130934a5671bf,"0,0,1",,"-0.474246,0.0,-0.414455","0.474246,1.129157,0.414455","2100.001,2500.0,1835.24",,
bde984cab54f1b8fce58f346b4d8abe,"0,0,1",,"-0.226091,0.0,-0.139288","0.226091,0.45622,0.139288","2800.0,2825.0,1725.0",,
17ff217a53ffcb20a1c637e821f12a67,"0,0,1",,"-0.339491,0.0,-0.278978","0.339491,1.843428,0.278978","2066.81,5611.36,1698.41",,
23b5ae42941ac7815b7d8e48ecc58356,"0,0,1",,"-0.613996,0.0,-0.349135","0.613996,1.474792,0.349135","4015.7501,4822.83,2283.4653",,
323b0f64f153b47e434c88ae20f69331,"0,0,1",,"-0.658977,0.0,-0.403355","0.658977,1.335205,0.403355","2387.5,2418.75,1461.37",,
3c693492780885e248af20241edfd17b,"0,0,1",,"-0.442952,0.0,-0.265519","0.442952,1.761741,0.265519","2200.0,4375.0,1318.75",,
43890c1681acdb96192cb9598e6d5392,"0,0,1",,"-0.39407,0.0,-0.375627","0.39407,0.849692,0.375627","5412.852,5835.589619,5159.52",,
76ffe67d67948975464e3094da7d844a,"0,0,1",,"-0.376374,0.0,-0.166393","0.376374,1.105106,0.166393","36643.7,53796.4,16200.0",,
c19c6178ed0f6f9da989559b7c93527c,"0,0,1",,"-0.189757,0.0,-0.316833","0.189757,0.476554,0.316833","1500.211,1883.812,2504.872",,
20ab8bdaf7558cabfd5a5a5596b9840d,"0,0,1",,"-0.37959,0.0,-0.397696","0.37959,2.243049,0.397696","6067.81,17927.753,6357.23",,
5bf7954ab8168f24e3849910c5019154,"0,0,1",,"-0.345908,0.0,-0.337205","0.345908,0.993983,0.337205","3464.39,4977.539809,3377.22",,
6028628127766d41cffd61677456447e,"0,0,1",,"-0.937193,0.0,-0.724736","0.937193,2.811715,0.724736","4173.0,6259.8,3227.0",,
eb5b11f0820f73acc5d9967b65588a28,"0,0,1",,"-0.995958,0.0,-0.564374","0.995958,2.877208,0.564374","3543.311,5118.11,2007.87",,
1f7301bb64526ce9d4cdf759998ef5c2,"0,0,1",,"-0.594461,0.0,-0.84386","0.594461,1.156289,0.84386","24612.6266,23937.09,34938.57",,
1a4ec387ea6820345778775dfd5ca46a,"0,0,1",,"-0.210631,0.0,-0.162647","0.210631,0.613197,0.162647","1690.0,2460.0,1305.0",,
67f091721c90a533d747b49524a1246e,"0,0,1",,"-0.113408,0.0,-0.102663","0.113408,0.752128,0.102663","2206.25,7315.98486,1997.21",,
133f2d360f9b8691f5ee22e800bb9145,"0,0,1",,"-1.09508,0.0,-0.452457","1.09508,0.672722,0.452457","10395.8,3193.138,4295.26",,
2298d06de1efec2a8ab33b80d7377fc3,"0,0,1",,"-0.975251,0.0,-0.366318","0.975251,0.799456,0.366318","9428.315,3864.4,3541.409",,
354c37c168778a0bd4830313df3656b,"0,0,1",,"-0.977563,0.0,-0.662481","0.977563,0.700136,0.662481","14445.2954,5172.9,9789.38",,
8872b51e43d2839b2bbb2dbe46302370,"0,0,1",,"-1.110014,0.0,-0.236873","1.110014,0.9567,0.236873","5857.654,2524.3,1250.0",,
c955e564c9a73650f78bdf37d618e97e,"0,0,1",,"-0.953402,0.0,-0.424721","0.953402,0.850013,0.424721","8656.4,3858.84,3856.25",,
87f103e24f91af8d4343db7d677fae7b,"0,0,1",,"-0.992671,0.0,-0.503326","0.992671,1.055405,0.503326","7100.0,3774.3515,3600.0",,
5138936886b73a214892e19b2e1fd933,"0,0,1",,"-0.551141,0.0,-0.297624","0.551141,0.37465,0.297624","4339.69018,1475.0,2343.49715",,
151916d8cacda1691c352d02061b3f7,"0,0,1",,"-0.265879,0.0,-0.158942","0.265879,1.500515,0.158942","3306.287,9329.682,1976.495",,
39ef7e982d00763560507fdad4357e06,"0,0,1",,"-0.530941,0.0,-0.080084","0.530941,0.802765,0.080084","8958.066,6772.15,1351.18",,
3eb855c7bda95c1391c352d02061b3f7,"0,0,1",,"-0.368265,0.0,-0.187969","0.368265,0.73653,0.187969","2400.0,2400.0,1225.0",,
693836c29e5fa6179a2988e955b5ae43,"0,0,1",,"-0.166131,0.0,-0.116291","0.166131,1.682076,0.116291","1574.8002,7972.44,1102.36",,
50b6f015efde66415c4a5e5e114d842,"0,0,1",,"-0.23373,0.0,-0.233729","0.23373,1.166604,0.233729","2744.803,6850.0,2744.798",,
750ba8feafceba921933ffef19678834,"0,0,1",,"-0.251698,0.0,-0.09832","0.251698,1.227029,0.09832","3200.0,7800.0,1250.0",,
7dd090ba0a8588a55f7f6f928a280ff1,"0,0,1",,"-0.294594,0.0,-0.16508","0.294594,1.158244,0.16508","17283.48,33976.4,9685.04",,
79f81b259e597d168e6da51641e48238,"0,0,1",,"-0.353905,0.0,-0.144333","0.353905,1.431986,0.144333","3250.0,6575.147793,1325.446",,
3348af6458aa2f0545004a22a9d35958,"0,0,1",,"-0.593867,0.0,-1.167877","0.593867,0.752349,1.167877","2639.78,1672.12,5191.29",,
30b6b75548448c5f88a441c3f24d213a,"0,0,1",,"-0.833111,0.0,-1.095096","0.833111,1.016501,1.095096","6259.84,3818.9,8228.35",,
20eebe2dd79d8a663c21e83bef1bd7ca,"0,0,1",,"-0.629915,0.0,-1.077175","0.629915,1.097308,1.077175","3128.6,2725.0,5350.003",,
59e9b9d7aee400b13df325aac2f73830,"0,0,1",,"-0.614842,0.0,-1.170375","0.614842,0.664267,1.170375","7775.0,4200.0,14800.0",,
87870712d104cf964fc1553be5e987de,"0,0,1",,"-1.244311,0.0,-0.981432","1.244311,0.54329,0.981432","11181.09,2440.94,8818.92",,
fcebba8e480c01bfdbc727c5adcdbaf5,"0,0,1",,"-0.542352,0.0,-1.088358","0.542352,1.233123,1.088358","55043.46,62575.0,110457.73",,
e91c2df09de0d4b1ed4d676215f46734,"0,0,1",,"-0.8848,0.0,-1.229324","0.8848,1.096015,1.229324","5650.0,3499.37,7850.0",,
69d996ed6fce735e1f6a5b0146bf3030,"0,0,1",,"-0.625719,0.0,-1.140632","0.625719,0.816477,1.140632","4725.86,3083.3,8614.84",,
57ca0a93f07cd504e3f7a74e12a274ef,"0,0,1",,"-0.8711,0.0,-1.269119","0.8711,0.944399,1.269119","582675.8,315852.53,848909.0",,
3df20e86818847dcd054cd3079273293,"0,0,1",,"-0.672561,0.0,-0.987557","0.672561,1.313248,0.987557","3110.241,3036.5398,4566.93",,
5bbcf08fabf2d50336b41ce3eef1f5be,"0,0,1",,"-0.800277,0.0,-1.027741","0.800277,1.348782,1.027741","7007.87,5905.51,8999.728",,
8031a85ece37f223b5edf94cfe57f2d,"0,0,1",,"-1.048065,0.0,-1.178693","1.048065,1.603995,1.178693","8625.0,6600.0,9700.0",,
1152a5db0db892286c52446b30bba6c,"0,0,1",,"-1.06669,0.0,-0.36297","1.06669,1.631058,0.36297","7200.03,5504.72,2450.0041",,
1c7b7f43d91e474dabaf316e4a957cb1,"0,0,1",,"-1.063588,0.0,-0.378086","1.063588,1.625416,0.378086","5925.2,4527.56,2106.3",,
83c33ab5e108f688657bf7ec906f4721,"0,0,1",,"-1.08696,0.0,-0.233829","1.08696,1.671533,0.233829","70425.0,54150.0,15150.0",,
df1bd1065e7f7cde5e29ce2c9d37b952,"0,0,1",,"-1.091182,0.0,-0.427944","1.091182,1.497797,0.427944","7267.03,4987.5,2850.01",,
21739712276d970c62261c712c0aec55,"0,0,1",,"-0.526955,0.0,-1.0906","0.526955,2.088243,1.0906","4149.25,8221.43,8587.4056",,
2a65d7ac4437736724a415fef8a3f966,"0,0,1",,"-0.3633,0.0,-0.333402","0.3633,2.073737,0.333402","3117.154,8896.4468,2860.63",,
f1b1e5d8f592f302a017d113d18bd1de,"0,0,1",,"-0.347967,0.0,-0.347967","0.347967,1.888613,0.347967","2739.9,7435.4852,2739.9",,
653776d3f5cf198ccf004563556ddb36,"0,0,1",,"-0.235,0.0,-0.235","0.235,1.799999,0.235","1850.39,7086.61,1850.39",,
8bd3e4df6908e4876510282e828922a,"0,0,1",,"-0.649057,0.0,-0.246446","0.649057,0.49045,0.246446","100174.67,37847.703099,38036.16",,
976636850849c3d6ffd996335233167,"0,0,1",,"-0.572482,0.0,-0.308243","0.572482,0.690641,0.308243","5800.04,3498.58,3122.93",,
bd276817499c11edf1783a44a88d6274,"0,0,1",,"-0.679151,0.0,-0.203745","0.679151,0.396172,0.203745","6000.0,1750.0,1800.0",,
11d2b7d8c377632bd4d8765e3910f617,"0,0,1",,"-0.253614,0.0,-0.218487","0.253614,0.717703,0.218487","3118.44,4412.444,2686.52",,
21601b2073df39a1ba03b08fad766c06,"0,0,1",,"-0.185125,0.0,-0.137525","0.185125,0.38346,0.137525","1810.64,1875.24,1345.077",,
e0c167a32fe41d1ce7ab3a37ad319023,"0,0,1",,"-0.251899,0.0,-0.251899","0.251899,0.675073,0.251899","2165.64,2901.89,2165.64",,
